"Table S2. Selected publications from Web of Science searches associated with research topics. Please see the Table S1 and the full-text article (Leigh et al., ""Ecological research and management of intermittent rivers: an historical review and future directions"", published in Freshwater Biology) for details of search topics and selection criteria. Formatting of the entries matches that of the output from Web of Science searches; the authors of the present study are not responsible for any associated errors in publications details or style.",,,,,,,,,,,,,,,,,,,,
Associated search(es),Publication year,Author(s),Title,Abstract,Source,Volume,Issue,Special issue,Start page,End page,Article number,Digital Object Identifier (DOI),Book Digital Object Identifier (DOI),Conference title,Conference date,Conference sponsors,Conference location,International Standard Serial Number (ISSN),International Standard Book Number (ISBN),Accession number
Biogeochemistry,2007,"Lewis, David Bruce; Grimm, Nancy B.",Hierarchical regulation of nitrogen export from urban catchments: Interactions of storms and landscapes,"In urban catchments of arid central Arizona, we investigate how the export of mineral and organic nitrogen (N) in storm runoff is regulated by interactions between local landscape characteristics and broader scale storm features. First, we test whether N export is more a function of (1) processes that affect N concentration in runoff or (2) the propensity of the catchment to convey rainfall as runoff. With data pooled across catchments, the mass of N in export (load) is determined by processes regulating runoff N concentration. There are exceptions when catchments are examined individually, where N load from some catchments is determined by the hydrologic responsiveness of the catchment. Second, we investigate the relationship between N export and catchment features. Loads per catchment area were greater from more impervious catchments, probably because impervious catchments held more N in a mobilizable phase and conveyed more rainfall as overland flow. Loads per area were lower from larger catchments, possibly owing to more N-retention hot spots in larger catchments. Catchments with the greatest N exports were those with commercial land use, and loads decreased as development became less prevalent or as residential replaced industrial land use. Third, we investigated how catchment features moderated direct responses of N export to storms. Export was less correlated with storm features in catchments that were larger, more pervious, and less industrial. Results support an ""N build and flush'' hypothesis, which purports that there is little biotic processing of N deposited to arid, urban surfaces with little organic matter. The rate and duration of deposition determine the size of the mobile N pool. Any amount of rainfall capable of generating overland flow would entrain nearly all mobilizable N and export it from the catchment. Nonetheless, these results suggest that, even with daunting seasonal and interannual variability in storm conditions, material export can be reduced by managing intrinsic catchment features.",ECOLOGICAL APPLICATIONS,17,8,,2347,2364,,10.1890/06-0031.1,,,,,,1051-0761,,WOS:000251739800018
Biogeochemistry,2007,"Lewis, David Bruce; Grimm, Nancy B.; Harms, Tamara K.; Schade, John D.","Subsystems, flowpaths, and the spatial variability of nitrogen in a fluvial ecosystem","Nutrient dynamics in rivers affect biogeochemical fluxes from land to oceans and the atmosphere. Fluvial ecosystems are thus important environments for understanding spatial variability in nutrient concentrations. At the San Pedro River in semi-arid Arizona, USA, we investigated how variability in dissolved inorganic nitrogen (DIN) was regulated by subsystem type and hydrological flowpaths. The three subsystems we compared were the riparian zone, parafluvial (gravel bar) zone, and surface stream. DIN concentration was greater in the riparian zone than in the surface stream, suggesting that the riparian zone retains DIN and is a source of N for the surface stream. Parafluvial zones were too variable to generalize how they regulate DIN. Our hypothesis that subsystem type regulates DIN oxidation was too simple. The riparian and parafluvial zones host a mosaic of oxidizing and reducing conditions, as they exhibited highly variable ammonium to nitrate (NH4+:NO3-) ratios. Surface stream DIN was dominated by NO3-. Along a subsurface flowpath in the riparian zone, we did not observe spatial covariation among the N forms and transformations involved in mineralization. We also compared spatial variability in solute concentrations between flowpaths and non-flowpath reference areas. Our mixed results suggest that spatial variability is regulated in part by flowpaths, but also by solute-specific processing length along a flowpath. To understand the distribution of N in fluvial ecosystems, subsystem type and flowpaths are readily discernable guides, but they should be coupled with other mechanistic factors such as biota and soil type.",LANDSCAPE ECOLOGY,22,6,,911,924,,10.1007/s10980-007-9078-6,,,,,,0921-2973,,WOS:000247386600009
Biogeochemistry,2007,"Lillebo, Ana Isabel; Morais, Manuela; Guilherme, Pedro; Fonseca, Rita; Serafim, Antonio; Neves, Ramiro","Nutrient dynamics in Mediterranean temporary streams: A case study in Pardiela catchment (Degebe River, Portugal)","Most of the streams in the Mediterranean region are temporary, following predictable seasonal of flooding and drying, with a transition from lotic conditions to shallow lentic conditions. The goal of our study was to assess the nitrogen and phosphorus dynamics in channel-bed processes of temporary streams between floods. Results show that, during winter, temperatures ranged between 9.5 and 11.2 degrees C and oxygen concentration ranged from 8.0 to 9.5mg L-1, whereas, during summer, temperatures varied between 21.2 and 26.8 degrees C and oxygen between 1.2 and 5.3 mg L-1, with oxygen depletion in the pools during the night. The nitrate concentrations were far more abundant during winter (February), while ammonium concentration increased after stream fragmentation into pools (especially in July when oxygen depletion conditions favoured ammonification). Results on sediment profiles showed that the most active sediment layers for NH4-N are the top 2-3 cm, corresponding to the sediment depositional sites of the stream. Phosphate concentrations had larger variability, yet concentrations decreased from winter to spring and increased again in summer, when the shallow water pools were formed. Sediment profiles at the sediment depositional sites showed that P0O(4)-P was more dynamic in the first 6 cm.In Mediterranean temporary streams, nutrient dynamics vary seasonally, as the system transits from lotic conditions to shallow lentic conditions, evidencing the regeneration of nutrients from organic and inorganic matter during the flow cessation period. (C) 2007 Elsevier GmbH. All rights reserved.",LIMNOLOGICA,37,4,,337,348,,10.1016/j.limno.2007.05.002,,,,,,0075-9511,,WOS:000252188900006
Assessment,2007,"Lopez Garcia, M. Jose; Camarasa Belmonte, Ana M.; Mateu Belles, Joan F.",Land use changes and runoff production in Mediterranean ephemeral streams: The Carraixet and Poyo basins (1956-1998),"This paper attempts to determine the influence of recent land use changes on runoff production in Mediterranean ephemeral streams by means of GIS. The runoff threshold has been estimated by the US Soil Conservation Service method (1972) modified by Temez (1978) which combines values of slope, vegetation, land use and hydrological soil type. The method has been adapted by Camarasa et al. (2006) to estimate the hydrological soil type from the hydrogeomorphological characteristics of the catchment.The results show a very high spatial and temporal variability in runoff production. Overall values calculated for a catchment are not good indicators because they hide changes occurring in different sectors and tendencies that changes in periods of time.",BOLETIN DE LA ASOCIACION DE GEOGRAFOS ESPANOLES,,44,,69,+,,,,,,,,0212-9426,,WOS:000253101500004
Invertebrate,2007,"Lytle, David A.; White, Nicola J.",Rainfall cues and flash-flood escape in desert stream insects,"Desert stream insects may use rainfall cues to anticipate and escape flash floods, but this has been studied in few taxa. We used controlled, replicated experiments to quantify the use of rainfall cues for flood escape in seven common desert stream insects. The hemipterans Curicta pronotata and Aquarius remigis responded consistently to rainfall cues by crawling vertically away from the water, in such a way that they may escape flash floods in nature. The coleopteran Gyrinus plicifer showed no response to rainfall cues. The hemipteran Ambrysus woodburyi did not exit the water but sought refuge under submerged rocks. Three taxa (Ranatra quadridentata, Corydalus texanus, and Rhantus atricolor) gave ambiguous results, although the latter apparently responded to environmental cues other than rainfall. We conclude that rainfall cues are a sufficient mechanism for flood escape in some taxa, but other desert stream insects may employ different strategies (behavioral, life history, or morphological) to survive floods.",JOURNAL OF INSECT BEHAVIOR,20,4,,413,423,,10.1007/s10905-007-9089-9,,,,,,0892-7553,,WOS:000248056900004
Fish,2007,"Magalhaes, M. Filomena; Beja, Pedro; Schlosser, Isaac J.; Collares-Pereira, Maria J.",Effects of multi-year droughts on fish assemblages of seasonally drying Mediterranean streams,"1. This study analysed changes occurring in Mediterranean stream fish assemblages over a sequence of dry years followed by a generally wet period (1991-98). Variations in assemblage attributes were quantified at the basin and stream reach scales, and related to variables reflecting the occurrence of unusually dry or wet conditions.2. Assemblage variability increased along with the resolution of analysis, with little changes in species richness, composition and rank abundances, but significant variation in individual species abundances. Fluctuations in relative abundances were significantly affected by variables reflecting the severity of summer droughts and the occurrence of rainy springs. These patterns were evident at the basin scale, while variability at individual stream reaches tended to be higher and less related to rainfall patterns.3. At least three response guilds to rainfall variation could be identified: two of the four abundant and widespread species (chub and loach) declined following dry years, whereas the two other core species (nase and eel) declined after rainy spring; one scarce native species (stickleback) increased in dry years.4. Except at the two most upstream reaches, the assemblages tended to recover quickly to previous configuration after the changes occurring during the sequence of dry years.5. Temporal variability of local assemblages was concordant among reaches but did not follow any consistent spatial pattern. Instead, spatial patterns in assemblage attributes changed over time in response to environmental variability, with a tendency for a disruption of upstream-downstream gradients following dry years.6. Results supported the view that present-day droughts cause relatively small and transient changes to Mediterranean stream fish assemblages. However, longer and more severe droughts expected under altered future climates, may result in declines or local extinctions of the most sensitive species and their potential replacement by more resistant species. Changing drought regimes thus need to be duly considered in the development of conservation strategies for Mediterranean stream fish.",FRESHWATER BIOLOGY,52,8,,1494,1510,,10.1111/j.1365-2427.2007.01781.x,,,,,,0046-5070,,WOS:000247905900008
Assessment,2007,"Mair, Alan; Fares, Ali; El-Kadi, Aly","Effects of rainfall and ground-water pumping on streamflow in Makaha, O'ahu, Hawai'i","Land-use/land-cover changes in Makaha valley have included the development of agriculture, residential dwellings, golf courses, potable water supply facilities, and the introduction of alien species. The impact of these changes on surface water and ground water resources in the valley is of concern. In this study, stream-flow, rainfall, and ground-water pumping data for the upper part of the Makaha valley watershed were evaluated to identify corresponding trends and relationships. The results of this study indicate that streamflow declined during the ground-water pumping period. Mean and median annual streamflow have declined by 42% (135 mm) and 56% (175 mm), respectively, and the mean number of dry stream days per year has increased from 8 to 125. Rainfall across the study area appears to have also declined though it is not clear whether the reduction in rainfall is responsible for all or part of the observed streamflow decline. Mean annual rainfall at one location in the study area declined by 14% (179 mm) and increased by 2% (48 mm) at a second location. Further study is needed to assess the effect of ground-water pumping and to characterize the hydrologic cycle with respect to rainfall, infiltration, ground-water recharge and flow in the study area, and stream base flow and storm flow.",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,43,1,,148,159,,10.1111/j.1752-1688.2007.00012.x,,,,,,1093-474X,,WOS:000244429900012
Assessment,2007,"Malmon, Daniel V.; Reneau, Steven L.; Katzman, Danny; Lavine, Alexis; Lyman, Jared",Suspended sediment transport in an ephemeral stream following wildfire,"[ 1] We examine the impacts of a stand-clearing wildfire on the characteristics and magnitude of suspended sediment transport in ephemeral streams draining the burn area. We report the results of a monitoring program that includes 2 years of data prior to the Cerro Grande fire in New Mexico, and 3 years of postfire data. Suspended sediment concentration (SSC) increased by about 2 orders of magnitude following the fire, and the proportion of silt and clay increased from 50% to 80%. For a given flow event, SSC is highest at the flood bore and decreases monotonically with time, a pattern evident in every flood sampled both before and after the fire. We propose that the accumulation of flow and wash load at the flow front is an inherent characteristic of ephemeral stream flows, due to amplified momentum losses at the flood bore. We present a new model for computing suspended sediment transport in ephemeral streams ( in the presence or absence of wildfire) by relating SSC to the time following the arrival of the flood bore, rather than to instantaneous discharge. Using this model and a rainfall history, we estimate that in the 3 years following the fire, floods transported in suspension a mass equivalent to about 3 mm of landscape lowering across the burn area, 20% of this following a single rainstorm. We test the model by computing fine sediment delivery to a small reservoir in an adjacent watershed, where we have a detailed record of postfire sedimentation based on repeat surveys. Systematic discrepancies between modeled and measured sedimentation rates in the reservoir suggest rapid reductions in suspended sediment delivery in the first several years after the fire.",JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE,112,F2,,,,F02006,10.1029/2005JF000459,,,,,,0148-0227,,WOS:000245952500001
Biogeochemistry,2007,"Marin-Guirao, Lazaro; Lloret, Javier; Marin, Arnaldo; Garcia, Gregorio; Garcia Fernandez, Antonio J.",Pulse-discharges of mining wastes into a coastal lagoon: Water chemistry and toxicity,"Historical mining activities have led to the presence of enormous quantities of mining wastes, which cover large extensions of the Cartagena-La Union mining district (SE, Spain). In the present work, we study the pulse entrance of mining wastes through two temporary streams (wadis) into the Mar Menor coastal lagoon in two torrential rain events and during a dry period. The characteristics of the runoff pointed to the generation of acid mine drainages in wastes, the acidified stormwater runoff loaded with particulate and dissolved heavy metals causing toxicity in the lagoon waters. The dissolved metals, which mainly affected the sampling stations located close to the wadi discharges, were rapidly eliminated from the water column, whereas the particulate metals were transported further and affected a wider area. Finally, both particulate and dissolved metals are eliminated from the water column and are accumulated in the sediments of the lagoon. The results of the water toxicity tests using sea-urchin embryos indicated that water toxicity disappeared within a few days in the most distant stations, but lasted longer and depended on the climatic conditions of the subsequent days in stations closer to the wadi outlets.",CHEMISTRY AND ECOLOGY,23,3,,217,231,,10.1080/02757540701339422,,,,,,0275-7540,,WOS:000248117200003
Biogeochemistry,2007,"Meixner, T.; Huth, A. K.; Brooks, P. D.; Conklin, M. H.; Grimm, N. B.; Bales, R. C.; Haas, P. A.; Petti, J. R.","Influence of shifting flow paths on nitrogen concentrations during monsoon floods, San Pedro River, Arizona","Hydrologic flow paths control transport, and therefore are a major constraint on the cycling and availability of nutrients within stream ecosystems. This control is particularly evident in semiarid streams, where hydrologic connectivity between stream, riparian, and upland systems increases greatly during storms in the rainy season. We measured chloride concentrations in base flow, precipitation, soil water, and stream water to quantify the hydrologic connectivity and solute flux between soil water, groundwater, and the stream channel during six summer floods in 2001 (a wet year; 25 cm winter rain) and 2002 (a dry year; 5 cm winter rain) in the San Pedro River, southeastern Arizona. This hydrologic information was used to evaluate observed patterns in nitrate, dissolved organic nitrogen (DON) and dissolved organic carbon (DOC) concentrations in floods. The first floods of each year showed increased stream nitrate concentration that was approximately two orders of magnitude higher than base flow concentration. DOC consistently doubled to tripled during storm events, while DON in 2001 showed no response and showed a marked increase in 2002. A chloride mixing model indicated that soil and groundwater contributions to storm water discharge were related to antecedent conditions and to flood magnitude. Soil and groundwater contributions were the highest early in the 2001 monsoon season following the wet winter, much lower early in 2002 following a dry winter, and lowest during the largest floods of the 2002 monsoon season when flows were derived primarily from precipitation and overland flow. Stream water nitrate-N concentrations during floods were consistently 0.2-0.5 mg/L higher in 2002 than during 2001, suggesting greater over-winter accumulation of soil nitrate during the drier year. This result is consistent with higher mean nitrate-N concentrations in soil water of the riparian zone in 2002 (3.1 mg/L) than in 2001 (0.56 mg/L). These data highlight the importance of seasonal and interannual variability of hydrology in semiarid regions, and the role of water availability in driving patterns of soil nutrient accumulation and their transport to the stream.",JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,112,G3,,,,G03S03,10.1029/2006JG000266,,,,,,0148-0227,,WOS:000248898300002
"Invertebrate, Fish",2007,"Meyer, Judy L.; Strayer, David L.; Wallace, J. Bruce; Eggert, Sue L.; Helfman, Gene S.; Leonard, Norman E.",The contribution of headwater streams to biodiversity in river networks,"The diversity of life in headwater streams (intermittent, first and second order) contributes to the biodiversity of a river system and its riparian network. Small streams differ widely in physical, chemical, and biotic attributes, thus providing habitats for a range of unique species. Headwater species include permanent residents as well as migrants that travel to headwaters at particular seasons or life stages. Movement by migrants links headwaters with downstream and terrestrial ecosystems, as do exports such as emerging and drifting insects. We review the diversity of taxa dependent on headwaters. Exemplifying this diversity are three unmapped headwaters that support over 290 taxa. Even intermittent streams may support rich and distinctive biological communities, in part because of the predictability of dry periods. The influence of headwaters on downstream systems emerges from their attributes that meet unique habitat requirements of residents and migrants by: offering a refuge from temperature and flow extremes, competitors, predators, and introduced species; serving as a source of colonists; providing spawning sites and rearing areas; being a rich source of food; and creating migration corridors throughout the landscape. Degradation and loss of headwaters and their connectivity to ecosystems downstream threaten the biological integrity of entire river networks.",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,43,1,,86,103,,10.1111/j.1752-1688.2007.00008.x,,,,,,1093-474X,,WOS:000244429900008
Assessment,2007,"Nadeau, Tracie-Lynn; Rains, Mark Cable",Hydrological connectivity between headwater streams and downstream waters: How science can inform policy,"In January 2001, the U.S. Supreme Court ruled that the U.S. Army Corps of Engineers exceeded its statutory authority by asserting Clean Water Act (CWA) jurisdiction over non-navigable, isolated, intrastate waters based solely on their use by migratory birds. The Supreme Court's majority opinion addressed broader issues of CWA jurisdiction by implying that the CWA intended some ""connection"" to navigability and that isolated waters need a ""significant nexus"" to navigable waters to be jurisdictional. Subsequent to this decision (SWANCC), there have been many lawsuits challenging CWA jurisdiction, many of which are focused on headwater, intermittent, and ephemeral streams. To inform the legal and policy debate surrounding this issue, we present information on the geographic distribution of headwater streams and intermittent and ephemeral streams throughout the U.S., summarize major findings from the scientific literature in considering hydrological connectivity between headwater streams and downstream waters, and relate the scientific information presented to policy issues surrounding the scope of waters protected under the CWA. Headwater streams comprise approximately 53% (2,900,000 km) of the total stream length in the U.S., excluding Alaska, and intermittent and ephemeral streams comprise approximately 59% (3,200,000 km) of the total stream length and approximately 50% (1,460,000 km) of the headwater stream length in the U.S., excluding Alaska. Hillslopes, headwater streams, and downstream waters are best described as individual elements of integrated hydrological systems. Hydrological connectivity allows for the exchange of mass, momentum, energy, and organisms longitudinally, laterally, vertically, and temporally between headwater streams and downstream waters. Via hydrological connectivity, headwater, intermittent and ephemeral streams cumulatively contribute to the functional integrity of downstream waters; hydrologically and ecologically, they are a part of the tributary system. As this debate continues, scientific input from multiple fields will be important for policymaking at the federal, state, and local levels and to inform water resource management regardless of the level at which those decisions are being made. Strengthening the interface between science, policy, and public participation is critical if we are going to achieve effective water resource management.",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,43,1,,118,133,,10.1111/j.1752-1688.2007.00010.x,,,,,,1093-474X,,WOS:000244429900010
Biogeochemistry,2007,"Norton, Jay B.; Sandor, Jonathan A.; White, Carleton S.; Laahty, Vanissa",Organic matter transformations through arroyos and alluvial fan soils within a native American agroecosystern,"Linked biochemical and fluvial processes in discontinuous ephemeral streams may support sustained productivity of soils farmed by southwestern Native Americans for > 3000 yr. Ephemeral stream channels transport forest floor litter and soil materials from upland hillslopes to alluvial fans. Improved understanding of how ephemeral streams transport and process forest-floor organic materials could improve conservation of ecologically important and productive headwater alluvial fans. We analyzed organic and mineral materials from source to mouth along two ephemeral streams and analyzed suspended sediments from four collection traps in each. Results suggest that decomposition processes differ by reach and frequent, low-energy flows preferentially transport organic detritus as it decomposes. Processing of organic-rich sediments in canyon reaches is dominated by microbial immobilization (low inorganic N and available P, high C/N ratio). Arroyo reaches receive organic materials chiefly from upstream so mineralization plays in increasing role as materials are transported and decomposed downstream without fresh inputs. The frequency of flow decreases in a downstream direction as water infiltrates sandy streambeds. In lower arroyo and fan reaches, inputs of organic-rich sediments are infrequent. Relatively frequent wetting and drying stimulates mineralization of organic materials so concentrations of inorganic N and available P in detritus are relatively high. Results suggest that organic-rich sediments processed through ephemeral streams and deposited on unincised alluvial fans are important in sustaining one of the most productive landscape positions in semiarid regions.",SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,71,3,,829,835,,10.2136/sssaj2006.0020,,,,,,0361-5995,,WOS:000246602500023
"Fish, Assessment",2007,"Olson, Deanna H.; Weaver, George",Vertebrate assemblages associated with headwater hydrology in western Oregon managed forests,"We characterized headwater stream habitats, fish and amphibian fauna, in and along 106 headwater stream reaches at 12 study sites within managed forest stands 40 to 70 years old in western Oregon. Headwater stream types in our sample included perennial, spatially intermittent, and dry reaches. We captured 454 fish of three species groups and 1,796 amphibians of 12 species. Using canonical correlation, nonmetric multidimensional scaling ordination, and generalized linear models, we identified species and assemblages associated with reach hydrologic type (e.g., perennial, intermittent, dry), stream size, gradient, and substrate composition. Our findings of torrent salamander (Rhyacotriton species) occurrences in spatially intermittent streams, and patchy and infrequent occurrences of Cottus fish (sculpins) and coastal tailed frogs (Ascaphus truei Stejneger) suggests these taxa warrant consideration during headwater management for retention of locally distinct biotic resources.",FOREST SCIENCE,53,2,,343,355,,,,,,,,0015-749X,,WOS:000245514200019
"Invertebrate, Assessment",2007,"Ortiz, J. D.; Puig, M. A.","Point source effects on density, biomass and diversity of benthic macroinvertebrates in a mediterranean stream","We sampled benthic macroinvertebrates above and below a point source effluent in La Tordera stream (NE, Spain) over 2001-2002 to assess the effects Of nutrient enrichment on the structure, and taxonomic composition of the benthic macroinvertebrate community. Below the point source, discharge, specific conductance and nutrient concentrations were higher than at the upstream reach, while dissolved oxygen (DO) decreased. Macroinvertebrate density was higher at the downstream reach than at the upstream reach on most dates but the two reaches did not differ in macroinvertebrate biomass.On average, taxa richness at the upstream reach was 20% higher than at the downstream reach. Several taxa, especially mayflies, stoneflies and caddisflies, were present only at the upstream reach. Shannon diversity was similar between the two reaches on 50% of the dates. Ordination analysis clearly separated the samples of the upstream reach from the samples of the downstream reach in the first axis and corroborated the effect of the point Source on the benthic community. The two reaches followed a similar temporal pattern with respect to the distribution of taxa along the second axis of the Ordination analysis. Higher similarities between the two reaches in taxa composition, densities and biomass after the spates of April and May 2002, suggest that flooding events may act its a reset mechanism for benthic communities and play an important role in stream restoration. Copyright (c) 2007 John Wiley & Sons, Ltd.",RIVER RESEARCH AND APPLICATIONS,23,2,,155,170,,10.1002/rra.971,,,,,,1535-1459,,WOS:000244618100003
Invertebrate,2007,"Perez-Quintero, Juan Carlos","Diversity, habitat use and conservation of freshwater molluscs in the lower Guadiana River basin (SW Iberian Peninsula)","1. A study on the distribution pattern and conservation of freshwater molluscs of the south Guadiana River (SW Iberian Peninsula) was carried out between the Alqueva dam and the Atlantic Ocean.2. The knowledge of the distribution and abundance of molluscs before the closure of the Alqueva dam is an important tool for evaluating the potential reduction in diversity and the changes in species conservation status that may occur later.3. Twenty-three species (15 gastropods and 8 bivalves) were found in the study area. The presence of Unio crassus and Potomida littoralis indicates the importance of this basin for the conservation of endangered mussels (Unionidae) in the south Iberian Peninsula.4. Drainage area above the sampling site explained almost 58% of the variation in species richness. Larger drainage areas had a higher number of species, including those endemic to the basin.5. Patterns of habitat use were examined to identify species preferences with respect to the erosional-depositional gradient. Islamia minuta, Pisidium casertanum and Pisidium personatum find their optimum habitat in headwaters, whereas Theodoxus fluviatilis, Mercuria emiliana, Radix auricularia and all unionid species inhabit large and stable habitats downstream without marine influence.6. Populations of invasive Corbicula fluminea were found in the Guadiana River basin, both in rivers with large drainage areas and in brackish waters near the mouths of rivers. Copyright (c) 2006 John Wiley & Sons, Ltd.",AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,17,5,,485,501,,10.1002/aqc.796,,,,,,1052-7613,,WOS:000248923600004
Invertebrate,2007,"Punti, T.; Rieradevall, M.; Prat, N.","Chironomidae assemblages in reference condition Mediterranean streams: environmental factors, seasonal variability and ecotypes","Chironomidae spatial and temporal distributions were investigated over two seasons at 31 reference sites in eight Mediterranean river basins in NE Spain. A total of 126 taxa included in 67 genera of chironomid larvae were identified. Canonical correspondence analysis indicated that variation in the assemblage structure of chironomids was primarily explained by temperature, altitude and geology, together with hydrological factors such as discharge and dry period, which play an important role in structuring communities in Mediterranean streams. A final classification based solely on Chironomidae reference assemblages produced four biological groups, and the corresponding indicator taxa were identified. One group is almost exclusively formed by summer samples, showing that seasonal differences are one of the most important driving forces behind differences in Chironomidae assemblage composition in Mediterranean streams. Furthermore we tested the agreement between Chironomidae assemblages and three river ecotypes (WFD approach) obtained after conducting an environmental classification in the Mediterranean region of Spain. Non-metric multidimensional scaling showed a large overlap of chironomid assemblages among ecotypes, although communities belonging to the ecotype ""Siliceous headwaters and high altitude streams"" proved to be the most different from the other ecotypes studied. Our results suggest that a top-down classification of streams (using ecotypes) does not necessarily imply exclusive assemblages of chironomids. Thus, classification based on biological data may be more appropriate than environmental classification with subsequent testing using biological data. These findings have important implications for the application of the WFD in Mediterranean streams.",FUNDAMENTAL AND APPLIED LIMNOLOGY,170,2,,149,165,,10.1127/1863-9135/2007/0170-0149,,,,,,1863-9135,,WOS:000251958100006
Fish,2007,"Quist, Michael C.; Bower, Michael R.; Hubert, Wayne A.",Infection by a black spot-causing species of Uvulifer and associated opercular alterations in fishes from a high-desert stream in Wyoming,"Black spot is a common disease syndrome of freshwater fishes. This study provides information on the rank of density of the black spot agent and opercular bone alterations associated with at least one digenean, Uvulifer sp., infecting native and non-native catostomids and cyprinids of the Upper Colorado River Basin. We evaluated the density rank of pigmented metacercariae and associated alterations in the operculum of the bluehead sucker Catostomus discobolus, flannelmouth sucker C. latipinnis, white sucker C. commersoni, catostomid hybrids, roundtail chub Gila robusta, and creek chub Semotilus atromaculatus, sampled from Muddy Creek, Wyoming, USA in 2003 or 2004. All fish species contained individuals that exhibited gross signs of the black spot agent. Bluehead and flannelmouth suckers had 100% prevalence of infection. Although the other suckers and chubs contained encysted metacercariae in at least one individual, the presence of pigmented metacercariae was not apparent (i.e. based on gross observations) in many individuals. Catostomids had higher densities of metacercariae than cyprinids, as shown by frequency distributions of density ranks. Opercular holes (i.e. holes that completely penetrated the opercle and were in direct association with the pigment associated metacercariae) and pockets (depressions on the external surface of the opercle associated with metacercariae) were abundant among catostomids but rare among cyprinids.",DISEASES OF AQUATIC ORGANISMS,78,2,,129,136,,10.3354/dao01875,,,,,,0177-5103,,WOS:000252546500005
Invertebrate,2007,"Reznickova, Pavla; Paril, Petr; Zahradkova, Svetlana",The ecological effect of drought on the macroinvertebrate fauna of a small intermittent stream - An example from the Czech Republic,"The impact of an unstable hydrological regime on macroinvertebrates in an intermittent stream (with periodic summer droughts in particular stretches) was investigated in two successive years with differing climatic conditions. Ten series of macroinvertebrate samples were taken from two sampling sites between April 2002 and October 2003. Total abundance, taxa richness, main faunal groups, and life strategies were assessed in order to describe the changes in the macroinvertebrate assemblages. Periodic dry periods caused a decrease in macroinvertebrate density in the intermittent stretch, whereas they had no negative influence on number of taxa. Before the drought, the density of permanent fauna decreased and the number of r-strategists rose and stayed at a high level in first samples in the after-drought period.",INTERNATIONAL REVIEW OF HYDROBIOLOGY,92,41763,,514,526,,10.1002/iroh.200610997,,6th River Bottom Symposium,"SEP 19-23, 2005",Masaryk Univ Brno; Palacky Univ; Biol Stn Lunz,"Brno, CZECH REPUBLIC",1434-2944,,WOS:000249375700012
Fish,2007,"Ribeiro, F.; Orjuela, R. L.; Magalhaes, M. F.; Collares-Pereira, M. J.",Variability in feeding ecology of a South American cichlid: a reason for successful invasion in mediterranean-type rivers?,"Ecological attributes behind the success of the South American cichlid Australoheros facetus in mediterranean-type rivers remain unclear. This study addresses this issue, by analysing its abundance and feeding patterns in the lower Guadiana drainage (Portugal), during the dry season of 2003. Despite slight spatial variations in abundance and individual size, A. facetus seemed well established in the Guadiana, Vascao and Ardila rivers. No seasonal or size-related changes in feeding intensity were found, but the diet changed across rivers, over time and throughout ontogeny. Feeding seemed highly generalist, with fish apparently reacting to both spatial and temporal changes in food supply and tending to use the most abundant and easily accessible food items. Overall prey breadth was broad relative to that of other native and non-native species. It is suggested that a generalist feeding strategy may play a significant role in the establishment of non-native fish in mediterranean-type rivers.",ECOLOGY OF FRESHWATER FISH,16,4,,559,569,,10.1111/j.1600-0633.2007.00252.x,,2nd Ecology of Stream Fish Meeting,"JUN 12-16, 2006",,"Leon, SPAIN",0906-6691,,WOS:000251026000011
